id,title,site,category,keywords,description
GNI-F000001,Forbidden Fruit of the Genome,"Apple Orchard, Hobbiton",Food,orchard|forbidden fruit|pomology,A crisp specimen collected beneath the oldest tree in Helix Orchard — its DNA encodes the precise crunch of a perfect autumn harvest.
GNI-F000002,Yellow Crescent of the Tropics,Banana Groves of the Southfarthing,Food,tropics|potassium|crescent|peel,"This curved yellow beauty was plucked from a towering plant in the Tropical Greenhouse of the Southfarthing, its genome 99.99% identical to the ideal breakfast companion."
GNI-F000003,"Staff of Life, Sequenced",The Mill at Bywater,Food,grain|yeast|loaf|staff of life,"Raised on the golden wheat fields of the Shire and baked to perfection, this capybara carries the fundamental essence of humankind’s oldest prepared food."
GNI-F000004,Fermented Curd of the Ancients,Dairy Meadows of the Reach,Food,dairy|fermentation|curd|aged,"Aged to genomic perfection in the cool cellars of the Reach, this specimen shows unmistakable signs of a long and noble tradition of mold cultivation."
GNI-F000005,"Theobroma's Dark Treasure","The Candy Shop, Braavos",Food,cacao|dark|velvety|confectionery,"Discovered in a velvet-lined box at the Cacao House of Braavos, this specimen exudes the signature aroma of Theobroma cacao — food of the gods, now in mammalian form."
GNI-F000006,Black Elixir of the Morning,"The Green Dragon Inn, Hobbiton",Food,beans|roast|caffeine|morning brew,"Collected at dawn from the misty slopes of Aroma Ridge, this capybara has been steeped in the rich heritage of the world’s favorite stimulant."
GNI-F000007,Sweet Disc of Delight,"Bakery Row, King's Landing",Food,baked|crunch|sweet|golden brown,"Fresh from the bakeries of King’s Landing, this golden-brown specimen crumbles at the slightest touch — a perfect union of butter, sugar, and capybara genetics."
GNI-F000008,Bunches of Helix Delight,Vineyards of the Brandywine,Food,vineyard|clusters|succulent|vintage,"Plucked in succulent clusters from the sun-drenched Vineyards of the Brandywine, this capybara holds the genetic memory of millennia of careful cultivation."
GNI-F000009,Golden Nectar of the Bees,The Beehives of the Reach,Food,bees|golden|nectar|hive,"Collected from the bustling hives of the Reach’s Apiary Fields, this genome is sticky with the concentrated essence of a million flower visits."
GNI-F000010,The Nordic Soul,"The Prancing Pony, Bree",Food,fika|cardamom|cinnamon|nordic pastry,"Swirl upon swirl of genomic data reveals the unmistakable pattern of the North’s most cherished pastry, collected fresh from the Fika Lot of Hobbiton with a generous dusting of cardamom."
GNI-F000011,White River of Nourishment,"The Milk Pail Farm, Stock",Food,pasteurized|creamery|white|udderly,"Sourced from the lush Pasturelands of Rohan, this genome is overwhelmingly dominated by the essence of lactating serenity."
GNI-F000012,Shelled Bounty of the Forest,"The Nuttery, Woody End",Food,shell|forest|foraged|assorted,"Foraged from the forest floor near , this specimen crackles with the concentrated energy of a mixed harvest — nature’s own protein-packed treasure trove."
GNI-F000013,Citrus Sphere of Sunshine,Citrus Grove of Dorne,Food,vitamin C|peel|citric|zest,"Grown under the warm glow of the Mediterranean Dome of Dorne, this round specimen bursts with genomic zest and a tangy disposition."
